tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ
20113,-791,651,8297,-249.329,221.743,8089.571,583.194,503.977,397.929,-73.428,34.286,20.713,36.418,21.200,7.086
20213,-496,452,8018,-243.214,220.300,8090.600,578.312,503.171,397.650,61.143,-14.429,10.288,-48.822,-8.065,-2.795
20313,-319,463,7633,-255.757,232.629,8078.214,570.242,498.371,398.207,-125.429,123.286,-123.857,-80.701,-47.999,5.574
20413,-623,691,8205,-246.071,242.671,8092.214,558.033,500.419,384.971,96.857,100.429,140.000,-122.086,20.482,-132.357
20513,-950,875,8005,-255.571,260.329,8093.471,564.241,500.613,384.541,-95.000,176.572,12.568,62.079,1.940,-4.308
20613,-671,623,7395,-262.371,278.200,8078.586,566.335,490.815,391.067,-68.000,178.714,-148.853,20.934,-97.976,65.265
20713,-901,487,7795,-255.343,284.943,8063.929,555.203,490.395,382.091,70.286,67.429,-146.572,-111.320,-4.201,-89.761
20813,-730,478,7806,-272.257,288.186,8065.014,551.357,490.910,381.247,-169.143,32.428,10.854,-38.458,5.151,-8.434
20913,-1003,439,8246,-264.929,292.129,8066.400,538.025,490.997,381.726,73.286,39.429,13.857,-133.323,0.871,4.787
21013,-1049,608,8757,-304.057,305.614,8070.357,492.063,486.504,387.387,-391.286,134.857,39.570,-459.621,-44.940,56.609
21113,-1240,649,7756,-338.857,321.471,8068.343,470.408,479.294,388.648,-348.000,158.571,-20.142,-216.549,-72.092,12.607
21213,-1312,666,7566,-366.586,330.543,8065.229,469.746,479.720,391.775,-277.286,90.714,-31.143,-6.619,4.255,31.268
21313,-920,547,8143,-387.071,329.386,8057.314,462.103,479.098,384.460,-204.857,-11.571,-79.141,-76.428,-6.216,-73.149
21413,-1053,138,7583,-361.057,334.114,8045.043,361.722,475.539,385.692,260.143,47.286,-122.715,-1003.806,-35.589,12.326
21513,-1385,335,7616,-358.829,334.800,8043.329,354.861,475.505,387.325,22.285,6.857,-17.144,-68.610,-0.338,16.331
21613,-1267,380,7663,-376.243,338.229,8041.857,368.816,474.953,388.570,-174.143,34.286,-14.717,139.552,-5.520,12.444
21713,-1119,268,8272,-392.529,340.729,8042.543,376.015,474.116,388.933,-162.857,25.000,6.860,71.986,-8.376,3.630
21813,-1414,224,7934,-405.929,335.900,8047.414,394.986,473.559,385.391,-134.000,-48.286,48.711,189.710,-5.573,-35.417
21913,-1629,228,7890,-420.886,329.757,8049.429,420.378,472.127,384.193,-149.572,-61.429,20.146,253.917,-14.312,-11.984
22013,-1627,249,7707,-433.086,325.771,8047.543,442.243,471.614,385.542,-122.000,-39.857,-18.857,218.654,-5.129,13.498
22113,-1440,298,8546,-452.943,328.171,8060.771,455.601,471.039,386.531,-198.571,24.000,132.285,133.577,-5.753,9.884
22213,-1743,304,7833,-479.086,331.229,8057.529,475.919,470.177,387.475,-261.429,30.572,-32.427,203.181,-8.620,9.439
22313,-1717,170,7733,-499.300,327.214,8053.386,497.528,470.337,389.367,-202.143,-40.143,-41.431,216.091,1.598,18.927
22413,-1339,-89,8311,-515.471,322.871,8060.886,506.088,472.750,389.201,-161.714,-43.429,75.000,85.598,24.134,-1.664
22513,-2006,18,8006,-540.871,317.486,8062.700,534.825,474.044,388.645,-254.000,-53.857,18.145,287.369,12.933,-5.565
22613,-1856,45,7649,-571.229,312.643,8049.243,548.137,475.070,386.421,-303.572,-48.429,-134.575,133.123,10.262,-22.235
22713,-1767,89,8061,-596.029,309.543,8049.857,562.224,475.810,386.405,-248.000,-31.000,6.143,140.876,7.406,-0.159
22813,-1746,-5,8999,-620.029,303.886,8068.957,574.803,477.161,399.581,-240.000,-56.571,191.001,125.789,13.501,131.755
22913,-2157,-2,8355,-644.443,298.314,8070.429,602.600,478.421,400.441,-244.143,-55.714,14.717,277.968,12.605,8.600
23013,-2235,120,7414,-675.014,294.400,8053.500,627.711,478.743,402.778,-305.714,-39.143,-169.287,251.105,3.219,23.377
23113,-2605,769,7671,-709.514,300.457,8048.214,665.344,482.016,405.328,-345.000,60.572,-52.856,376.328,32.729,25.492
23213,-1859,1008,7800,-730.700,308.014,8043.100,677.879,488.854,406.168,-211.857,75.571,-51.143,125.355,68.383,8.402
23313,-1767,584,8657,-752.743,310.443,8053.543,686.082,489.796,412.373,-220.428,24.286,104.429,82.027,9.419,62.049
23413,-2059,30,8342,-780.886,305.371,8063.543,698.569,490.835,410.756,-281.429,-50.714,100.000,124.869,10.385,-16.169
23513,-1791,-134,7928,-806.543,319.857,8050.929,702.206,461.835,401.052,-256.571,144.857,-126.143,36.371,-290.002,-97.043
23613,-2118,552,8043,-834.357,333.114,8043.557,714.926,454.937,396.360,-278.143,132.571,-73.716,127.203,-68.973,-46.915
23713,-1786,537,7615,-854.114,338.414,8039.714,721.809,455.120,399.183,-197.571,53.000,-38.428,68.831,1.832,28.224
23813,-1931,603,8441,-877.571,345.757,8043.500,729.701,455.184,401.705,-234.572,73.429,37.856,78.914,0.633,25.229
23913,-1911,160,7198,-901.529,351.386,8023.471,735.683,450.391,408.356,-239.572,56.286,-200.288,59.820,-47.932,66.505
24013,-2410,-109,8180,-930.100,356.071,8026.372,754.631,443.822,408.736,-285.714,46.857,29.004,189.485,-65.681,3.803
24113,-1740,277,6449,-950.757,366.786,8006.771,756.724,432.589,449.024,-206.572,107.143,-196.001,20.932,-112.332,402.881
24213,-900,-442,9931,-956.743,354.829,8031.586,754.639,443.085,503.390,-59.857,-119.571,248.145,-20.853,104.953,543.656
24313,-3351,829,9746,-1005.614,371.357,8057.914,796.194,438.864,542.642,-488.714,165.286,263.281,415.546,-42.202,392.525
24413,-1591,426,9149,-1023.200,386.757,8069.357,795.334,421.244,556.897,-175.858,154.000,114.429,-8.599,-176.203,142.548
24513,-2021,709,7001,-1049.686,398.871,8064.157,797.248,418.132,565.089,-264.857,121.143,-51.997,19.144,-31.121,81.918
24613,-1829,1833,7466,-1075.586,428.829,8047.128,792.682,443.894,564.897,-259.000,299.572,-170.288,-45.656,257.617,-1.917
24713,-641,1181,7006,-1082.557,450.229,8027.372,786.661,443.531,576.658,-69.714,214.000,-197.568,-60.215,-3.630,117.603
24813,-1723,938,6990,-1104.186,465.771,8014.943,783.151,441.282,589.366,-216.285,155.428,-124.287,-35.099,-22.485,127.088
24913,-2422,725,8327,-1136.471,473.271,8014.614,790.197,441.163,589.186,-322.858,75.000,-3.286,70.456,-1.193,-1.805
25013,883,304,8700,-1118.000,475.414,8027.471,821.456,439.969,594.161,184.714,21.429,128.569,312.597,-11.933,49.753
25113,-3491,2591,4790,-1164.157,511.014,7975.986,861.736,504.203,705.825,-461.571,356.000,-514.854,402.794,642.331,1116.641
25213,-851,125,8200,-1176.614,514.343,7990.786,850.746,500.863,699.477,-124.572,33.286,147.998,-109.899,-33.395,-63.481
25313,-651,2259,7211,-1181.343,545.729,7974.171,846.883,538.924,703.975,-47.286,313.857,-166.143,-38.631,380.609,44.979
25413,-1166,2320,6171,-1195.443,578.357,7945.157,838.250,575.008,735.151,-141.000,326.285,-290.142,-86.333,360.844,311.756
25513,-1070,1355,8032,-1201.143,593.800,7950.786,836.018,581.111,734.285,-57.000,154.429,56.284,-22.319,61.023,-8.654
25613,-1380,1189,9797,-1215.629,602.571,7971.814,830.186,585.379,765.131,-144.857,87.714,210.288,-58.317,42.682,308.455
25713,-672,2262,8446,-1220.971,629.400,7987.743,825.453,616.932,763.228,-53.429,268.286,159.282,-47.328,315.530,-19.026
25813,-1009,1576,9319,-1232.914,646.029,7995.971,816.200,626.461,774.350,-119.429,166.285,82.285,-92.528,95.295,111.223
25913,-924,1931,7854,-1245.543,667.057,7988.286,804.399,644.282,773.050,-126.285,210.286,-76.855,-118.014,178.210,-13.000
26013,-1822,2637,5599,-1268.029,700.500,7962.457,798.175,683.705,820.771,-224.857,334.429,-258.286,-62.238,394.226,477.208
26113,532,801,7308,-1256.371,705.843,7952.529,818.170,683.008,824.416,116.571,53.428,-99.282,199.947,-6.971,36.450
26213,-89,-387,8234,-1256.786,674.571,7943.071,817.571,682.216,817.305,-4.143,-312.714,-94.575,-5.988,-7.922,-71.107
26313,-1608,197,8192,-1275.786,649.914,7942.857,810.023,667.685,817.238,-190.000,-246.571,-2.144,-75.480,-145.308,-0.673
26413,-864,99,9395,-1286.871,632.943,7958.057,798.926,666.373,834.038,-110.857,-169.714,152.002,-110.975,-13.121,167.999
26513,595,1500,7835,-1277.071,646.443,7956.114,817.526,674.184,834.164,98.000,135.000,-19.429,186.000,78.108,1.260
26613,-1348,1040,8658,-1296.257,655.457,7964.143,803.078,675.166,838.167,-191.858,90.143,80.288,-144.471,9.827,40.026
26713,-396,313,8221,-1297.343,653.257,7956.729,801.808,676.027,833.554,-10.857,-22.000,-74.146,-12.701,8.608,-46.131
26813,42,-387,8254,-1295.971,637.629,7958.500,804.013,687.158,834.052,13.715,-156.285,17.715,22.046,111.309,4.980
26913,-999,1200,9056,-1304.771,640.057,7975.500,797.315,688.839,844.060,-88.000,24.285,170.000,-66.976,16.808,100.089
27013,-1596,4313,7286,-1326.343,687.329,7967.029,784.371,814.306,847.953,-215.714,472.714,-84.712,-129.443,1254.668,38.928
27113,217,2675,7653,-1311.943,716.243,7957.829,803.096,847.750,847.817,144.000,289.143,-92.002,187.252,334.438,-1.364
27213,1851,738,8448,-1278.414,720.329,7963.971,881.616,847.155,849.786,335.286,40.857,61.426,785.193,-5.943,19.692
27313,681,1183,9338,-1264.129,730.614,7988.329,904.842,848.339,864.262,142.858,102.857,243.574,232.267,11.833,144.760
27413,1689,1419,8410,-1231.100,741.014,7991.257,967.658,852.243,865.338,330.286,104.000,29.287,628.156,39.040,10.758
27513,180,1811,5068,-1214.957,754.386,7949.300,981.539,861.532,932.268,161.428,133.715,-419.575,138.807,92.894,669.305
27613,899,1097,8453,-1192.529,761.157,7964.414,1011.201,862.335,931.736,224.286,67.714,151.143,296.628,8.031,-5.328
27713,-233,2078,6588,-1182.986,783.886,7947.171,1017.043,875.673,945.774,95.428,227.286,-172.427,58.414,133.384,140.383
27813,125,1345,5929,-1170.771,796.271,7920.357,1027.490,877.389,975.536,122.142,123.857,-268.145,104.471,17.158,297.622
