tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole
19113,-821,-417,8154,-474.414,523.029,7944.843,840.350,793.049,445.426,-39.143,-152.571,-5.859,9.858,79.986,-3.014,0,0,0,0,0
19213,-659,-970,7743,-478.329,502.029,7936.628,840.562,812.602,443.768,-39.143,-210.000,-82.144,2.125,195.536,-16.585,0,0,0,0,0
19313,1132,384,8197,-439.814,492.857,7942.000,851.627,810.256,444.610,385.143,-91.714,53.716,110.647,-23.461,8.427,0,0,0,0,0
19413,-3238,-3639,11355,-490.386,428.871,7990.800,909.233,945.827,601.419,-505.714,-639.857,487.998,576.060,1355.707,1568.087,0,0,0,0,1
19513,-7,-295,7555,-468.857,413.957,7993.586,902.558,948.888,598.937,215.286,-149.143,27.861,-66.750,30.607,-24.818,0,0,0,0,0
19613,-1028,-726,8711,-484.629,393.629,8011.314,902.545,957.807,601.538,-157.714,-203.286,177.285,-0.131,89.194,26.006,0,0,0,0,0
19713,-631,-916,8670,-487.329,367.229,8024.514,902.696,968.018,605.695,-27.000,-264.000,131.997,1.512,102.108,41.569,0,0,0,0,0
19813,-284,-980,8357,-484.386,337.400,8032.386,903.018,976.862,606.384,29.429,-298.286,78.716,3.223,88.438,6.890,0,0,0,0,0
19913,-488,-972,8263,-485.814,309.400,8042.586,902.944,985.860,604.168,-14.286,-280.000,102.002,-0.745,89.988,-22.158,0,0,0,0,0
20013,-849,-683,8213,-472.629,299.614,8042.043,890.722,992.242,603.998,131.857,-97.857,-5.430,-122.220,63.818,-1.704,0,0,0,0,0
20113,-441,-838,8201,-468.871,270.514,8047.643,890.293,995.304,603.628,37.571,-291.000,56.001,-4.293,30.619,-3.696,0,0,0,0,0
20213,51,-402,7519,-495.600,253.986,8035.486,845.048,996.727,605.580,-267.286,-165.286,-121.572,-452.446,14.230,19.517,0,0,0,0,0
20313,-503,-276,7432,-496.986,230.800,8025.957,844.980,989.885,609.739,-13.857,-231.857,-95.288,-0.684,-68.417,41.589,0,0,0,0,0
20413,-642,-227,7404,-501.486,211.671,8014.657,844.901,985.600,613.817,-45.000,-191.286,-112.998,-0.786,-42.851,40.784,0,0,0,0,0
20513,-641,-1009,8231,-491.286,167.257,8008.114,838.824,969.423,609.017,102.000,-444.143,-65.430,-60.773,-161.769,-48.007,0,0,0,0,0
20613,-657,-700,8207,-480.586,120.657,8003.814,831.835,930.822,606.529,107.000,-466.000,-42.998,-69.885,-386.014,-24.871,0,0,0,0,0
20713,75,-750,7633,-493.043,127.771,8008.043,816.756,922.197,602.887,-124.571,71.143,42.285,-150.793,-86.247,-36.427,0,0,0,0,0
20813,226,-791,7686,-495.857,160.929,8001.400,813.929,843.483,603.836,-28.143,331.571,-66.431,-28.268,-787.146,9.492,0,0,0,0,0
20913,-74,-1087,7941,-473.600,129.300,7985.000,803.796,848.161,589.494,222.571,-316.286,-163.999,-101.335,46.785,-143.422,0,0,0,0,0
21013,515,-1226,8455,-459.014,109.957,7999.214,812.294,863.275,588.659,145.857,-193.429,142.144,84.984,151.140,-8.351,0,0,0,0,0
21113,1112,-1207,8330,-483.429,61.600,8022.829,735.385,840.586,567.934,-244.143,-483.571,236.143,-769.091,-226.890,-207.241,0,0,0,0,0
21213,706,-1096,7942,-473.414,44.229,8025.543,746.655,851.691,567.087,100.143,-173.714,27.144,112.698,111.052,-8.474,0,0,0,0,0
21313,614,-1360,8224,-461.300,11.143,8035.357,757.245,860.568,564.486,121.143,-330.857,98.140,105.903,88.763,-26.011,0,0,0,0,0
21413,-181,-944,8119,-461.400,-13.343,8042.300,757.208,863.008,562.480,-1.000,-244.857,69.429,-0.374,24.407,-20.063,0,0,0,0,0
21513,208,-832,7835,-454.900,-31.771,8044.986,760.964,866.513,561.033,65.000,-184.286,26.860,37.561,35.044,-14.469,0,0,0,0,0
21613,-63,-539,7649,-463.371,-31.829,8049.586,753.213,866.546,556.428,-84.714,-0.571,46.001,-77.503,0.333,-46.045,0,0,0,0,0
21713,-699,-455,7559,-479.229,-38.371,8056.429,746.291,867.986,547.333,-158.571,-65.429,68.428,-69.222,14.402,-90.948,0,0,0,0,0
21813,-971,-199,7467,-480.071,-60.257,8041.128,746.812,852.305,548.625,-8.429,-218.857,-153.003,5.212,-156.816,12.920,0,0,0,0,0
21913,-646,-441,7691,-460.143,-86.757,8031.157,723.131,834.711,548.555,199.286,-265.000,-99.712,-236.817,-175.934,-0.700,0,0,0,0,0
22013,-473,-442,7701,-439.157,-112.971,8031.214,700.792,816.442,548.521,209.857,-262.143,0.571,-223.382,-182.693,-0.347,0,0,0,0,0
22113,-1029,-696,8224,-440.486,-145.057,8042.029,701.820,794.290,544.740,-13.286,-320.857,108.145,10.279,-221.516,-37.811,0,0,0,0,0
22213,-1087,-892,8246,-453.757,-171.086,8048.414,705.129,788.466,544.473,-132.714,-260.286,63.853,33.087,-58.240,-2.664,0,0,0,0,0
22313,-413,-1148,8320,-447.914,-187.629,8046.771,703.747,796.599,543.477,58.429,-165.429,-16.426,-13.824,81.331,-9.964,0,0,0,0,0
22413,61,-1270,8519,-436.186,-204.514,8046.257,705.287,806.771,543.013,117.286,-168.857,-5.142,15.407,101.719,-4.642,0,0,0,0,0
22513,-364,-1005,8454,-431.900,-223.300,8053.329,704.801,809.876,545.049,42.857,-187.857,70.713,-4.860,31.047,20.368,0,0,0,0,0
22613,-833,-1240,8693,-426.329,-227.814,8059.214,700.051,814.636,549.681,55.714,-45.143,58.857,-47.502,47.599,46.315,0,0,0,0,0
22713,-503,-991,8297,-427.157,-249.786,8062.000,700.107,814.183,550.384,-8.286,-219.714,27.856,0.559,-4.532,7.032,0,0,0,0,0
