tmstm,rssi,type,mac
180213,-92,48,1801f13b9f03
180219,-78,80,d06f820dca00
180281,-89,80,b0c28721bc6a
180283,-87,80,b2c28721bc6b
180285,-70,80,9897d19bbdf8
180312,-81,80,345760ecae40
180325,-73,c8,60f81dcfd4b4
180331,-71,50,9897d19bbdf8
180383,-89,80,b0c28721bc6a
180424,-78,80,d06f820dca00
180487,-87,80,b2c28721bc6b
180489,-69,80,9897d19bbdf8
180491,-73,88,9897d19bbdf8
180525,-80,80,345760ecae40
180528,-89,48,1801f13b9f03
180589,-87,80,b0c28721bc6a
180591,-89,80,b2c28721bc6b
180593,-70,80,9897d19bbdf8
180628,-82,80,d06f820dca00
180722,-81,80,345760ecae40
180827,-72,c8,60f81dcfd4b4
180827,-64,c8,dc90884a7739
180895,-89,80,b0c28721bc6a
180897,-89,80,b2c28721bc6b
180899,-71,80,9897d19bbdf8
180927,-81,80,345760ecae40
180936,-80,80,d06f820dca00
183204,-64,80,10c25a50cbd1
183221,-92,80,a09d86167618
183325,-95,08,a09d86167618
183369,-94,80,5a238c3436ca
183454,-96,80,7c8779019402
183473,-95,80,54a6194cc290
183512,-64,80,10c25a50cbd1
183529,-95,80,a09d86167618
183674,-95,80,5a238c3436c6
183837,-96,08,a09d86167618
184269,-92,80,e894f6e6fc32
185176,-89,80,78719c4752b0
185199,-90,50,84c9c690baa9
185268,-92,80,e067b32dc3b6
185290,-92,80,84c9c690baa9
185451,-92,80,001dcf1c399b
185863,-90,88,e067b32dc3b6
185892,-94,80,78719c4752b0
188173,-83,80,fcb4e6c5ee2a
188193,-87,80,e067b357bdde
188195,-83,80,d0bf9c5495bb
188423,-84,50,d0bf9c5495bb
190174,-80,80,bccab5d2c7d0
190633,-88,88,bccab5d2c7d0
191176,-81,80,58238ce84753
191178,-82,80,5a238ce84754
192255,-48,40,e4a471e5f2ef
193171,-69,50,9897d19bbdf8
193185,-90,80,b0c28721bc6a
193186,-39,c8,e4a471e5f2ef
193190,-69,80,9897d19bbdf8
